Name	MOA	Target	Phase
cresol			Launched
cresopirine			Preclinical
cridanimod	progesterone receptor agonist	PGR	Launched
crisaborole	phosphodiesterase inhibitor	PDE4B	Phase 3
crizotinib	ALK tyrosine kinase receptor inhibitor	ALK, MET	Launched
crizotinib-(S)	MTH1 inhibitor	NUDT1	Preclinical
croconazole	bacterial cell wall synthesis inhibitor		Launched
cromakalim		KCNJ8	Phase 2
cromoglicic-acid	immunosuppressant	KCNMA1, S100P	Launched
crotamiton	antipruritic		Launched
CRT0044876			Preclinical
cryptotanshinone	acetylcholinesterase inhibitor, STAT inhibitor	STAT3	Preclinical
crystal-violet	other antibiotic		Launched
CR8-(R)	CDK inhibitor	CCNA2	Preclinical
CS-110266	dopamine receptor agonist	SLC6A3	Preclinical
CS-917	fructose biphosphate inhibitor	FBP1	Phase 2
CT-7758	integrin antagonist	ITGA4	Phase 2
CTEP	glutamate receptor antagonist	GRM5	Preclinical
CTS-1027	metalloproteinase inhibitor	MMP1, MMP13, MMP2, MMP3, MMP9	Phase 2
CTS21166	beta-secretase inhibitor	BACE1	Phase 1
CU-CPT-4a	toll-like receptor inhibitor	TLR3	Preclinical
CU-T12-9	toll-like receptor agonist	TLR1, TLR2	Preclinical
CUDC-101	EGFR inhibitor	EGFR, ERBB2	Phase 1
CUDC-427	apoptosis inhibitor	XIAP	Phase 1
CUDC-907	PI3K inhibitor	HDAC2, PIK3R1	Phase 2
CUR-61414	smoothened receptor antagonist	DHH, IHH, SMO	Phase 1
curcumin	cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor	APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH	Launched
curcumol	JAK inhibitor	JAK1, JAK2, JAK3	Phase 1
cutamesine	sigma receptor agonist	SIGMAR1	Phase 2
CV-1808	adenosine receptor agonist	ADORA2A	Preclinical
CVT-10216	aldehyde dehydrogenase inhibitor	ALDH2	Phase 1
CW-008	PKA activator	PRKACA	Preclinical
CX-4945	casein kinase inhibitor	CSNK2A1, CSNK2A2, DAPK3, HIPK3	Phase 1/Phase 2
CX-516	glutamate receptor modulator		Phase 2/Phase 3
CX-5461	RNA polymerase inhibitor		Phase 1
cyacetacide			Preclinical
cyamemazine	serotonin receptor antagonist	HTR1A, HTR2A, HTR2C, HTR7	Launched
cyanocobalamin	methylmalonyl CoA mutase stimulant, vitamin B	MMAA, MMACHC, MTHFR, MTR, MTRR, MUT	Launched
cyanopindolol	adrenergic receptor antagonist	ADRB1, HTR1A, HTR1D	Phase 2
cyclamic-acid			Preclinical
cyclandelate	calcium channel blocker	CACNA2D1, CES1	Launched
cyclic-AMP		CNGA3, HCN2, PRKAR1A, PRKAR2B, TRPM7	Preclinical
cyclizine	histamine receptor modulator	HRH1, SULT1E1	Launched
cyclobenzaprine	adrenergic receptor agonist, serotonin receptor agonist	HTR2A	Launched
cyclocreatine	creatine kinase substrate		Phase 1
cyclocytidine	DNA synthesis inhibitor, RNA synthesis inhibitor		Preclinical
cycloheximide	protein synthesis inhibitor	RPL3	Preclinical
cyclopenthiazide	thiazide diuretic		Launched
cyclopentolate	acetylcholine receptor antagonist	CHRM1	Launched
cyclophosphamide	DNA alkylating agent	CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP3A7	Launched
cyclopiazonic-acid	ATPase inhibitor	ATP2A1	Preclinical
cycloserine-(d)	bacterial cell wall synthesis inhibitor	GRIN1	Launched
cyclosporin-a	calcineurin inhibitor	PPP3CA	Launched
cyclosporine	calcineurin inhibitor	ABCB11, CAMLG, FPR1, PPIA, PPIF, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3	Launched
cyclothiazide	glutamate receptor modulator	CA1, CA2, CA4, FXYD2, GRIA1, GRIA2, GRIA3, GRIA4, SLC12A3	Launched
cyclovalone	breast cancer resistance protein inhibitor	ABCG2	Launched
cyclovirobuxin-d	calcium channel modulator		Preclinical
CYC116	Aurora kinase inhibitor	AURKA, AURKB, KDR	Phase 1
CYM-50260	sphingosine 1 phosphate receptor agonist	S1PR4	Preclinical
CYM-50358	sphingosine 1-phosphate receptor antagonist	S1PR4	Preclinical
CYM-50769	neuropeptide receptor antagonist	NPBWR1	Preclinical
CYM-5442	sphingosine 1 phosphate receptor agonist	S1PR1	Preclinical
CYM-5520	sphingosine 1 phosphate receptor agonist	S1PR2	Preclinical
CYM-5541	sphingosine 1 phosphate receptor agonist	S1PR3	Preclinical
cypermethrin			Launched
cyproheptadine	histamine receptor antagonist	ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, HRH1, HTR2A, HTR2C, HTR6, HTR7	Launched
cyproterone	androgen receptor antagonist	AR	Launched
cyproterone-acetate	androgen receptor antagonist	ADORA1, AR	Launched
cyromazine			Launched
cysteamine	tissue transglutaminase inhibitor	NPY2R, SST	Launched
CYT-997	tubulin polymerization inhibitor	TUBB	Phase 2
cytarabine	ribonucleotide reductase inhibitor	POLA1, POLB, POLD1, POLE	Launched
cytisine	acetylcholine receptor agonist	CHRNA2, CHRNA3, CHRNA4, CHRNA6, CHRNA7, CHRNB2, CHRNB4	Launched
cytochalasin-b	microtubule inhibitor	ACTB	Phase 2
cytochlor			Phase 1
cyt387		JAK1, JAK2, JAK3	Phase 3
CY208-243	dopamine receptor agonist	CALY	Phase 2
CZC-54252	leucine rich repeat kinase inhibitor	LRRK2	Preclinical
CZC24832	PI3K inhibitor	PIK3CG	Preclinical
C106			Phase 3
C11-Acetate		ABAT, ACE, AKR1C3, CA2, CELA1, ESR2, FFAR2, FFAR3, HPRT1, LTA4H, MMP12, NOS1, NOS3, PLA2G1B, PTPN1, SOD1, TXN	Phase 3
C34	toll-like receptor inhibitor	TLR4	Preclinical
C646	histone acetyltransferase inhibitor	EP300	Preclinical
D-(+)-maltose		AMY2B, MGAM	Preclinical
D-alpha-tocopheryl-succinate			Launched
D-delta-Tocopherol			Launched
D-limonene			Phase 1
D-Phenylalanine	enkephalinase inhibitor	CCBL1, CRH, HCAR3	Preclinical
D-Serine	glutamate receptor agonist	GLRA1, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, SERPINB3	Launched
D-4476	TGF beta receptor inhibitor	CSNK1A1, CSNK1D, TGFB1	Preclinical
D-64131	microtubule inhibitor	TUBB	Preclinical
D-7193			Phase 2
DAA-1106	benzodiazepine receptor agonist	TSPO	Preclinical
dabigatran	thrombin inhibitor	F2	Launched
dabigatran-etexilate	thrombin inhibitor	F2	Launched
dabrafenib	RAF inhibitor	BRAF, LIMK1, NEK11, RAF1, SIK1	Launched
dacarbazine	DNA alkylating agent	PGD, POLA2	Launched
dacinostat	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	Phase 1
daclatasvir	HCV inhibitor		Launched
dacomitinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	Phase 3
dactinomycin	RNA polymerase inhibitor	POLR2A	Launched
daidzein	estrogen receptor agonist	ESRRA, ESRRB, ESRRG, TRPC5	Phase 2
dalargin	opioid receptor agonist	OPRM1	Phase 2
dalbavancin	bacterial cell wall synthesis inhibitor	PNLIP	Launched
dalcetrapib	cholesteryl ester transfer protein inhibitor	CETP	Phase 3
dalfampridine	potassium channel blocker	KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNA7, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNJ13, KCNJ5, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNV1, KCNV2	Launched
daltroban	thromboxane receptor antagonist	TBXA2R	Phase 3
daminozide	KDM2A inhibitor	KDM2A, KDM7A, PHF8	Preclinical
danazol	estrogen receptor antagonist, progesterone receptor agonist	AR, CCL2, ESR1, GNRHR, GNRHR2, PGR	Launched
danegaptide	gap junction modulator		Phase 2
danirixin	CC chemokine receptor antagonist	CXCR2	Phase 2
danofloxacin	bacterial DNA gyrase inhibitor		Launched
danoprevir	HCV inhibitor		Phase 2
dantrolene	calcium channel blocker	RYR1, RYR3	Launched
dantron	laxative		Withdrawn
danusertib	Aurora kinase inhibitor, growth factor receptor inhibitor	AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, SLK	Phase 2
dapagliflozin	sodium/glucose cotransporter inhibitor	SLC5A1, SLC5A2	Launched
daphnetin	protein kinase inhibitor		Preclinical
dapiprazole	adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D	Launched
dapivirine	non-nucleoside reverse transcriptase inhibitor	CYP3A4, CYP3A5	Phase 3
dapoxetine	selective serotonin reuptake inhibitor (SSRI)	HTR1A, HTR1B, HTR2C, SLC6A4	Launched
daprodustat	hypoxia inducible factor inhibitor	EGLN1	Phase 3
dapsone	bacterial antifolate	DHFR	Launched
DAPT	gamma secretase inhibitor		Preclinical
daptomycin	bacterial cell wall synthesis inhibitor		Launched
darapladib	phospholipase inhibitor	PLA2G7	Phase 3
darglitazone	PPAR receptor antagonist	PPARG	Phase 2
darifenacin	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	Launched
darunavir	HIV protease inhibitor	CYP3A4	Launched
darusentan	endothelin receptor antagonist	EDNRA	Phase 3
dasabuvir	HCV inhibitor		Launched
dasatinib	Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor	ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1	Launched
DAU-5884	acetylcholine receptor antagonist	CHRM3	Preclinical
daucosterol	apoptosis stimulant		Phase 2
daunorubicin	RNA synthesis inhibitor, topoisomerase inhibitor	TOP2A, TOP2B	Launched
dazmegrel	thromboxane synthase inhibitor	TBXAS1	Phase 2
dazoxiben	thromboxane synthase inhibitor	TBXAS1	Phase 2
DBeQ	ATPase inhibitor	CASP3	Preclinical
DBPR108	dipeptidyl peptidase inhibitor	DPP4	Phase 1
DC-260126	free fatty acid receptor antagonist	FFAR1	Preclinical
DCC-2618	PDGFR tyrosine kinase receptor inhibitor, KIT inhibitor	KIT, PDGFRA	Phase 1
DCEBIO	potassium channel activator	KCNN2, KCNN3, KCNN4	Preclinical
DCPIB	chloride channel blocker, gap junction modulator, glutamate inhibitor	SLC1A2	Preclinical
DDR1-IN-1	discoidin domain receptor inhibitor	DDR1, DDR2	Preclinical
debrisoquin	adrenergic neuron blocker	SLC6A2	Launched
decamethonium	acetylcholine receptor agonist	ACHE, CHRNA2	Launched
decamethoxine	antiseptic		Phase 2
decernotinib	JAK inhibitor	JAK3	Phase 2/Phase 3
decitabine	DNA methyltransferase inhibitor	DNMT1, DNMT3A	Launched
decoquinate	antiprotozoal agent		Launched
defactinib	focal adhesion kinase inhibitor	PTK2	Phase 2
deferasirox	chelating agent	CYP3A4	Launched
deferiprone	chelating agent	UGT1A6	Launched
deferoxamine-mesylate	chelating agent		Launched
deflazacort	glucocorticoid receptor agonist	NR3C1	Launched
deforolimus	mTOR inhibitor	MTOR	Phase 3
degarelix	gonadotropin releasing factor hormone receptor antagonist	GNRHR	Launched
dehydroacetic-acid			Preclinical
dehydrocholate			Preclinical
dehydrocholate-acid			Preclinical
dehydrocorydaline	acetylcholinesterase inhibitor	ACHE	Phase 3
dehydroepiandrosterone	protein synthesis stimulant	ESR1, ESR2, G6PD, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, HSD17B1, NR1I2, NR1I3, PPARA, SIGMAR1, SULT2A1, SULT2B1	Launched
dehydroepiandrosterone-sulfate	androgen receptor agonist, estrogen receptor agonist	AR, ESR1, ESR2	Launched
delamanid	bacterial cell wall synthesis inhibitor		Launched
delanzomib	proteasome inhibitor	CMA1, CTSG, CYP3A4, ELANE	Phase 1/Phase 2
delapril	angiotensin converting enzyme inhibitor	ACE	Launched
delavirdine	non-nucleoside reverse transcriptase inhibitor	CYP3A4	Launched
delivert	angiotensin receptor agonist	AGTR1, AGTR2	Launched
delphinidin	membrane permeability inhibitor	GLO1	Phase 2
delta-Tocotrienol	HMGCR inhibitor	HMGCR	Phase 1
deltarasin	phosphodiesterase inhibitor	KRAS	Preclinical
demecarium	acetylcholinesterase inhibitor	ACHE, BCHE	Launched
demeclocycline	bacterial 30S ribosomal subunit inhibitor		Launched
denatonium-benzoate			Preclinical
denotivir	antiviral		Launched
deoxyarbutin	tyrosinase inhibitor		Preclinical
deoxycholic-acid	biliverdin reductase A activator, G protein-coupled receptor agonist	EFTUD1, FPR1, GPBAR1	Launched
deoxycorticosterone-acetate	progestogen hormone	NR3C2	Preclinical
deoxyepinephrine	adrenergic receptor agonist, dopamine receptor agonist	ADRA1A, DRD1, DRD2	Preclinical
deptropine	histamine receptor antagonist	HRH1	Preclinical
dequalinium	PKC inhibitor	KCNN1, KCNN3	Launched
deracoxib	cyclooxygenase inhibitor	PTGS2	Launched
deserpidine	angiotensin converting enzyme inhibitor	ACE, SLC18A2	Launched
desipramine	tricyclic antidepressant	ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, SLC6A2, SLC6A4, SMPD1	Launched
deslanoside	Na/K-ATPase inhibitor	ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1, ATP1B2, ATP1B3, FXYD2	Launched
desloratadine	histamine receptor antagonist	HRH1	Launched
desmethylclozapine	acetylcholine receptor agonist	HTR2C	Phase 2
desmopressin-acetate	vasopressin receptor agonist	AVPR1A, AVPR1B, AVPR2, OXTR	Launched
desogestrel	progesterone receptor agonist	ESR1, PGR	Launched
desonide	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Launched
desoximetasone	glucocorticoid receptor agonist	NR3C1, PLA2G1B	Launched
desoxycorticosterone-pivalate	corticosteroid agonist	NR3C2	Launched
desoxycortone	mineralocorticoid receptor agonist	NR3C1, NR3C2	Preclinical
desoxypeganine	acetylcholinesterase inhibitor, monoamine oxidase inhibitor	ACHE	Phase 1
desvenlafaxine	serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2, SLC6A3, SLC6A4	Launched
detomidine	adrenergic receptor agonist	ADRA2A	Launched
dexamethasone	glucocorticoid receptor agonist	ANXA1, NOS2, NR0B1, NR3C1, NR3C2	Launched
dexamethasone-acetate	glucocorticoid receptor agonist		Launched
dexamethasone-sodium-phosphate	glucocorticoid receptor agonist	NR3C1	Launched
dexchlorpheniramine	histamine receptor antagonist		Launched
dexfenfluramine	serotonin receptor agonist	HTR2C, SLC6A4	Withdrawn
dexfosfoserine	membrane integrity inhibitor	CFTR, GRM4, GRM6, GRM7, GRM8, KCNC4, PDPK1, PIM1, PRKACA, PRKCQ, PYGL, PYGM, REG1A, RHO, SERPINB3, SMAD2, TAOK2	Preclinical
dexlansoprazole	ATPase inhibitor	ATP4A, ATP4B	Launched
dexloxiglumide	CCK receptor antagonist	CCKAR	Phase 3
dexmedetomidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C	Launched
dexniguldipine	calmodulin antagonist	ADORA3	Phase 2
dexpanthenol			Launched
dexrazoxane	chelating agent, topoisomerase inhibitor	TOP2A, TOP2B	Launched
dextran			Launched
dextroamphetamine	monoamine oxidase inhibitor	ADRA1A, ADRA1B, SLC18A2, SLC6A2, SLC6A3, TAAR1	Launched
dextromethorphan	glutamate receptor antagonist, sigma receptor agonist	CHRNA2, CHRNA3, CHRNA4, CHRNA7, CHRNB2, CHRNB4, CYBA, CYBB, GRIN3A, NCF1, NCF2, NCF4, OPRD1, OPRK1, OPRM1, PGRMC1, RAC1, RAC2, SIGMAR1, SLC6A2, SLC6A4	Launched
dextrose			Launched
DFB	glutamate receptor agonist	GRM5	Preclinical
DG-172	PPAR receptor inverse agonist	PPARD	Preclinical
DH-97	melatonin receptor antagonist	MTNR1B	Preclinical
DHBP	ryanodine receptor blocker		Preclinical
diacerein	interleukin inhibitor	IL1B	Launched
diacetamate			Preclinical
diadenosine-tetraphosphate	adenosine kinase inhibitor	P2RY13, P2RY2	Phase 1
dianhydrogalactitol	DNA alkylating agent		Phase 1
diarylpropionitrile	estrogen receptor agonist	ESR2	Preclinical
diatrizoic-acid			Launched
diaveridine	dihydrofolate reductase inhibitor		Launched
diazepam	benzodiazepine receptor agonist	ADRA1A, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, TSPO	Launched
diazooxonorleucine	glutamate receptor antagonist		Phase 2
diazoxide	potassium channel activator	ATP1A1, CA1, CA2, KCNJ11, KCNJ8, KCNMA1, SLC12A3	Launched
dibekacin	bacterial 30S ribosomal subunit inhibitor		Launched
dibenzepine	norepinephrine reputake inhibitor		Preclinical
dibenzothiophene			Preclinical
dibutyl-phthalate		TRPA1	Preclinical
dichlorisone-acetate			Phase 2
dichloroacetate	pyruvate dehydrogenase kinase inhibitor	PDK1	Phase 3
dichlorophen	anticestodal agent		Launched
dichlorvos	acetylcholinesterase inhibitor		Launched
diclazuril	antiprotozoal agent		Launched
diclofenac	cyclooxygenase inhibitor	AKR1C3, ALOX5, ASIC1, ASIC3, KCNQ2, KCNQ3, PLA2G2A, PPARG, PTGS1, PTGS2, SCN4A	Launched
diclofenamide	carbonic anhydrase inhibitor	CA1, CA12, CA2, CA4, CA7	Launched
diclofensine	dopamine reuptake inhibitor	DRD1, MAOA, MAOB	Phase 3
dicloralurea			Preclinical
dicloxacillin	bacterial cell wall synthesis inhibitor		Launched
dicoumarol	NADPH inhibitor	CRYZ, NQO1, VKORC1	Launched
dicyclohexylamine			Preclinical
dicycloverine	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3	Launched
didanosine	nucleoside reverse transcriptase inhibitor	PNP	Launched
dideoxyadenosine	nucleoside reverse transcriptase inhibitor		Phase 1
didox	ribonucleotide reductase inhibitor	RRM1	Launched
dienestrol	estrogen receptor agonist	ESR1	Launched
dienogest	progesterone receptor agonist	PGR	Launched
diethylcarbamazine	lipoxygenase inhibitor	ALOX5, PTGS1	Launched
diethylstilbestrol	estrogen receptor agonist	ESR1, ESR2, ESRRB, ESRRG	Withdrawn
diethyltoluamide	ionotropic receptor IR40a activator		Launched
difenpiramide	cyclooxygenase inhibitor, prostaglandin inhibitor		Launched
diflorasone-diacetate	glucocorticoid receptor agonist	NR3C1	Launched
difloxacin	bacterial DNA gyrase inhibitor		Launched
diflunisal	prostanoid receptor antagonist	PTGS1, PTGS2	Launched
difluprednate	glucocorticoid receptor agonist	NR3C1	Launched
diftalone	cyclooxygenase inhibitor		Launched
digitoxigenin	ATPase inhibitor	ATP1A1	Preclinical
digitoxin	ATPase inhibitor	ATP1A1	Launched
digoxigenin	steroid		Preclinical
digoxin	ATPase inhibitor	ATP1A1	Launched
dihomo-gamma-linolenic-acid	prostanoid receptor agonist	PTGS1, PTGS2	Phase 2
dihydrexidine	dopamine receptor agonist	DRD1, DRD2, DRD3, DRD4, DRD5	Phase 2
dihydroartemisinin	antimalarial agent		Launched
dihydroergocristine	adrenergic receptor antagonist, prolactin inhibitor	ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A, HTR3A, HTR4, HTR5A, HTR6, HTR7	Launched
dihydroergotamine	serotonin receptor agonist	ADRA2A, DRD2, HTR1B, HTR1D, HTR1E, HTR1F, HTR2B, HTR7	Launched
dihydromyricetin			Preclinical
dihydrostreptomycin	bacterial 30S ribosomal subunit inhibitor		Withdrawn
dihydrotachysterol	vitamin analog	VDR	Launched
dihydrotestosterone	androgen receptor agonist	AR, HSD17B1	Launched
dihydroxyacetone			Launched
dihydroxyphenylglycine	glutamate receptor agonist	GRM1, GRM5	Preclinical
diiodothyropropionic-acid	thyroid hormone stimulant		Phase 2
dilazep	adenosine reuptake inhibitor	SLC29A1	Launched
diloxanide	protein synthesis inhibitor		Launched
diltiazem	calcium channel blocker	CACNA1C, CACNA1S, CACNA2D1, CACNG1, HTR3A, KCNA5	Launched
dimaprit	histamine receptor agonist	HRH2, HRH3, HRH4	Preclinical
dimemorfan	sigma receptor agonist	SIGMAR1	Launched
dimenhydrinate	histamine receptor antagonist	HRH1	Launched
dimercaprol	chelating agent		Launched
dimercaptosuccinic-acid	chelating agent	DNMT1	Launched
dimesna	tubulin polymerization inhibitor		Phase 3
dimethadione	oxazolidine antiepileptic		Preclinical
dimethicone			Launched
dimethindene-(S)-(+)	acetylcholine receptor antagonist	HRH1	Preclinical
dimethisoquin	local anesthetic		Launched
dimethyl-fumarate	nuclear factor erythroid derived, like (NRF2) activator	KEAP1	Launched
dimethyl-isosorbide	cosmetic moisturizer		Preclinical
dimetindene	histamine receptor antagonist, cholinergic receptor antagonist	CHRM2, HRH1	Launched
dimetridazole	bacterial DNA inhibitor		Launched
diminazene-aceturate	angiotensin converting enzyme activator	AOC1, PRDX5, PRSS1	Phase 3
dimpylate	acetylcholinesterase inhibitor	ACHE	Launched
dinaciclib	CDK inhibitor	CDK1, CDK2, CDK5, CDK9	Phase 3
dinitolmide			Launched
dinoprost	prostacyclin analog	PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R	Launched
dinoprostone	prostanoid receptor agonist	CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, TBXA2R	Withdrawn
dioscin	apoptosis stimulant	CXCR3	Preclinical
diosgenin	steroid		Preclinical
diosmetin	aryl hydrocarbon receptor agonist	CYP1B1	Launched
diosmin	aryl hydrocarbon receptor agonist, capillary stabilizing agent	AHR	Launched
dioxybenzone	topical sunscreen agent		Preclinical
dipeptamin			Launched
diperodon	local anesthetic		Preclinical
diphemanil	acetylcholine receptor antagonist	CHRM3	Launched
diphencyprone	immunostimulant		Phase 2
diphenhydramine	histamine receptor antagonist	HRH1	Launched
diphenidol	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4	Launched
diphenyleneiodonium	nitric oxide synthase inhibitor	NOS2, NOS3	Preclinical
diphenylguanidine			Preclinical
diphenylpyraline	dopamine uptake inhibitor	HRH1, SLC6A3	Launched
dipivefrine	adrenergic receptor agonist	ACHE, ADRA1A, ADRA2A, ADRB2, BCHE	Launched
dipraglurant	glutamate receptor negative allosteric modulator	GRM5	Phase 2
DIPT	dopamine reuptake inhibitor, serotonin reuptake inhibitor	HTR1A, HTR2A, HTR2C	Launched
dipyridamole	phosphodiesterase inhibitor	ADA, PDE10A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, SLC29A1	Launched
dipyrocetyl	chelating agent		Launched
dirithromycin	bacterial 50S ribosomal subunit inhibitor		Launched
diroximel-fumarate	anti-inflammatory agent		Phase 3
disodium sebacate		HBA1, HBB	Phase 1
disopyramide	sodium channel blocker	CHRM1, CHRM2, CHRM3, KCND2, KCND3, KCNH2, SCN5A	Launched
disulfiram	aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPV agonist	ALDH2, DBH	Launched
dithranol	DNA synthesis inhibitor		Launched
ditiocarb-sodium-trihydrate	immunostimulant	CA1, CA2, CA4	Phase 3
ditolylguanidine	sigma receptor agonist	GRIN1, GRIN2A, GRIN2B, SIGMAR1	Preclinical
divalproex-sodium	benzodiazepine receptor agonist	ALDH5A1	Launched
dixanthogen			Preclinical
dizocilpine-(+)	glutamate receptor antagonist	GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D	Preclinical
dizocilpine-(-)	glutamate receptor antagonist		Phase 1
DMAB-anabaseine	adrenergic receptor agonist	CHRNA7	Preclinical
DMeOB		GRM5	Preclinical
DMH1	ALK tyrosine kinase receptor inhibitor	ACVR1	Preclinical
DMH4	VEGFR inhibitor	KDR	Preclinical
DMNB	DNA dependent protein kinase inhibitor		Preclinical
DMP-543	acetylcholine release enhancer		Phase 2
DMP-777	elastase inhibitor	MPO	Phase 2
DMPS	chelating agent		Phase 1
DMSO	control vehicle		Preclinical
DNQX	glutamate receptor antagonist	GRIA1, GRIA2, GRIK1, GRIN1, GRIN2A, GRIN2B	Preclinical
dobutamine	adrenergic receptor agonist	ADRB1, ADRB2	Launched
docebenone	lipoxygenase inhibitor	ALOX5	Phase 2
docetaxel	tubulin polymerization inhibitor	BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1	Launched
doconexent	PPAR receptor agonist	FFAR1, PTGS1, PTGS2	Launched
doconexent-ethyl-ester	omega 3 fatty acid stimulant		Launched
docosanol	lipase clearing factor inhibitor	TLR7	Launched
docusate	laxative		Launched
dodecyl-sulfate		LYZ	Preclinical
dofequidar	MRP inhibitor, P glycoprotein inhibitor	ABCB1	Phase 3
dofetilide	potassium channel blocker	KCNH1, KCNH2, KCNJ12, KCNK2	Withdrawn
dolasetron	serotonin receptor antagonist	HTR3A	Launched
dolastatin-10	tubulin polymerization inhibitor	TUBB	Phase 2
dolutegravir	HIV integrase inhibitor	CYP3A4, CYP3A5, CYP3A7, POU2F2, UGT1A1	Launched
domiphen			Preclinical
domperidone	dopamine receptor antagonist	DRD2, DRD3	Launched
donepezil	acetylcholinesterase inhibitor	ACHE, HTR2A	Launched
donitriptan	serotonin receptor agonist	HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR5A, HTR6	Phase 2
dopamine	dopamine receptor agonist	DBH, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR7, SLC6A2, SLC6A3, SLC6A4	Launched
doramapimod	p38 MAPK inhibitor	MAPK11, MAPK12, MAPK13, MAPK14	Phase 2
doramectin			Launched
doripenem	bacterial cell wall synthesis inhibitor	DPEP1	Launched
dorsomorphin	AMPK inhibitor	ACVR1, BMPR1A, BMPR1B, EPHA2, FKBP1A, FLT1, FLT3, KDR, LCK, MKNK1, PRKAA1, RPS6KA1, SRC	Preclinical
dorzolamide	carbonic anhydrase inhibitor	CA1, CA12, CA14, CA2, CA4, CA7	Launched
dosulepin	norepinephrine reuptake inhibitor, serotonin–norepinephrine reuptake inhibitor (SNRI), tricyclic antidepressant	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, SLC6A2, SLC6A4	Launched
dovitinib	EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor	CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB	Phase 3
doxapram	potassium channel blocker	KCNK3, KCNK9	Launched
