genes,bHCsmB_S1R1,bHCsmB_S1R2,bHCsmB_S1R3,bSLEsmB_S1R1,bSLEsmB_S1R2,bSLEsmB_S1R3
ENSG00000266905,0,0,0,0,0,0
ENSG00000266906,0,0,0,0,0,0
ENSG00000266907,4,0,0,1,0,3
ENSG00000266908,0,0,0,1,0,0
ENSG00000266909,0,0,1,0,0,0
ENSG00000266910,75,40,16,40,40,53
ENSG00000266913,15,5,1,18,3,14
ENSG00000266915,0,0,0,0,0,0
ENSG00000266916,4,5,1,3,1,4
ENSG00000266918,3,1,3,0,0,1
ENSG00000266919,0,0,0,0,0,0
ENSG00000266920,2,0,0,2,2,3
ENSG00000266921,0,0,0,2,7,0
ENSG00000266922,0,0,0,5,0,0
ENSG00000266923,0,0,0,0,0,0
ENSG00000266924,0,0,0,0,0,0
ENSG00000266925,0,0,0,0,0,0
ENSG00000266928,0,0,0,0,0,0
ENSG00000266929,0,0,0,0,0,0
ENSG00000266931,0,0,0,0,0,0
ENSG00000266932,0,0,0,0,0,0
ENSG00000266933,0,0,0,0,1,0
ENSG00000266934,9,0,0,1,0,0
ENSG00000266936,3,0,0,2,2,0
ENSG00000266938,0,0,0,0,0,0
ENSG00000266941,5,1,0,0,0,0
ENSG00000266943,0,2,1,0,1,0
ENSG00000266944,13,2,6,3,0,3
ENSG00000266946,37,43,1,4,81,43
ENSG00000266947,0,0,6,9,7,5
ENSG00000266950,0,0,0,0,0,0
ENSG00000266951,0,0,0,0,0,0
ENSG00000266952,0,0,0,8,0,0
ENSG00000266953,0,0,0,0,0,0
ENSG00000266954,0,0,0,0,0,0
ENSG00000266955,0,0,0,2,0,0
ENSG00000266957,20,3,0,1,2,6
ENSG00000266959,1,0,0,0,0,0
ENSG00000266961,0,0,0,0,0,0
ENSG00000266962,1,7,4,27,32,8
ENSG00000266963,0,0,0,0,0,0
ENSG00000266964,0,1,0,0,0,0
ENSG00000266965,165,32,44,28,26,79
ENSG00000266967,37,13,11,16,1,10
ENSG00000266968,1,0,0,1,0,0
ENSG00000266969,14,32,54,16,2,11
ENSG00000266970,0,1,0,0,0,0
ENSG00000266971,0,0,0,0,0,0
ENSG00000266973,1,0,1,1,0,1
ENSG00000266975,1,4,0,3,0,2
ENSG00000266976,0,23,0,0,0,0
ENSG00000266977,8,7,2,1,1,2
ENSG00000266978,3,1,0,0,0,1
ENSG00000266979,1,0,0,0,0,0
ENSG00000266980,0,7,0,1,1,15
ENSG00000266981,0,0,0,0,0,0
ENSG00000266983,6,11,5,13,0,24
ENSG00000266984,0,0,0,0,0,0
ENSG00000266985,0,0,0,0,0,0
ENSG00000266987,36,15,21,42,71,33
ENSG00000266988,3,0,1,0,0,0
ENSG00000266989,2,0,0,0,0,0
ENSG00000266990,0,0,0,0,0,0
ENSG00000266992,0,0,0,0,0,0
ENSG00000266993,76,55,35,35,72,55
ENSG00000266994,0,0,0,0,0,0
ENSG00000266995,0,0,0,1,4,0
ENSG00000266997,0,0,0,0,0,0
ENSG00000266998,0,2,0,1,5,9
ENSG00000267000,0,0,0,0,0,0
ENSG00000267001,0,0,0,0,0,0
ENSG00000267002,161,163,45,159,333,65
ENSG00000267004,0,0,0,0,0,0
ENSG00000267005,8,2,9,4,0,0
ENSG00000267006,29,28,25,23,77,18
ENSG00000267007,0,0,0,0,0,0
ENSG00000267009,11,3,6,0,4,20
ENSG00000267011,0,0,0,0,0,0
ENSG00000267013,0,0,0,0,0,0
ENSG00000267014,0,0,0,0,0,0
ENSG00000267015,13,10,1,9,24,8
ENSG00000267016,12,36,5,16,1,5
ENSG00000267019,0,0,0,0,0,0
ENSG00000267022,0,0,0,0,0,0
ENSG00000267023,16,14,3,27,14,21
ENSG00000267024,0,0,0,0,0,0
ENSG00000267026,0,9,0,0,0,0
ENSG00000267027,0,0,0,0,0,0
ENSG00000267028,0,2,2,0,0,1
ENSG00000267030,0,0,0,0,0,0
ENSG00000267032,15,0,2,0,1,0
ENSG00000267033,2,0,1,5,0,11
ENSG00000267035,2,2,0,3,0,0
ENSG00000267036,0,0,0,0,0,0
ENSG00000267038,0,0,0,2,0,0
ENSG00000267039,5,1,0,0,12,5
ENSG00000267040,339,242,98,323,705,337
ENSG00000267041,108,98,55,128,392,155
ENSG00000267042,1,0,0,0,0,0
ENSG00000267044,0,0,0,0,0,0
ENSG00000267046,0,5,2,8,109,5
ENSG00000267047,0,0,0,0,0,0
ENSG00000267048,0,1,0,1,0,0
ENSG00000267049,0,0,0,0,0,0
ENSG00000267051,0,0,0,1,0,0
ENSG00000267052,0,1,0,0,0,0
ENSG00000267053,6,9,0,2,4,0
ENSG00000267054,0,0,0,0,0,0
ENSG00000267055,2,0,0,1,1,0
ENSG00000267056,0,0,0,0,0,1
ENSG00000267057,0,0,0,1,0,0
ENSG00000267058,12,2,6,12,17,16
ENSG00000267059,0,0,0,0,0,0
ENSG00000267060,16,15,0,1,0,0
ENSG00000267061,0,0,0,0,0,0
ENSG00000267062,0,0,0,0,0,0
ENSG00000267063,0,0,0,1,0,0
ENSG00000267064,0,4,2,23,50,0
ENSG00000267065,1,0,0,3,1,1
ENSG00000267066,0,0,1,0,0,0
ENSG00000267069,0,0,0,0,0,0
ENSG00000267070,0,0,0,1,0,0
ENSG00000267072,0,0,0,0,0,0
ENSG00000267073,0,0,0,0,0,0
ENSG00000267074,12,1,5,20,184,13
ENSG00000267075,0,0,0,0,0,0
ENSG00000267076,0,0,0,0,1,0
ENSG00000267077,0,0,2,0,0,0
ENSG00000267078,0,0,0,0,1,0
ENSG00000267079,0,0,2,0,0,0
ENSG00000267080,75,268,45,139,244,103
ENSG00000267081,0,0,0,0,0,0
ENSG00000267082,5,0,1,1,0,4
ENSG00000267083,5,0,0,0,0,0
ENSG00000267084,0,0,0,0,0,0
ENSG00000267085,0,0,0,0,0,0
ENSG00000267088,3,0,1,0,7,0
ENSG00000267089,1,0,0,0,0,0
ENSG00000267090,0,0,0,0,0,0
ENSG00000267091,0,7,0,2,0,2
ENSG00000267092,0,0,0,0,0,0
ENSG00000267095,0,0,0,0,0,0
ENSG00000267096,11,4,5,4,2,0
ENSG00000267097,1,0,0,4,0,0
ENSG00000267098,0,0,0,0,0,0
ENSG00000267099,0,0,0,0,0,0
ENSG00000267100,114,126,43,209,115,102
ENSG00000267101,11,0,1,3,0,0
ENSG00000267102,2,9,2,17,2,0
ENSG00000267104,0,0,0,0,0,0
ENSG00000267105,0,0,0,0,0,0
ENSG00000267106,36,23,11,47,46,20
ENSG00000267107,2,4,3,16,17,1
ENSG00000267108,0,1,2,0,0,0
ENSG00000267109,0,0,0,0,0,0
ENSG00000267110,0,0,0,0,0,0
ENSG00000267112,0,0,0,0,0,0
ENSG00000267113,0,0,0,0,0,0
ENSG00000267114,1,4,0,10,0,0
ENSG00000267115,0,0,0,0,0,0
ENSG00000267116,0,0,0,0,0,0
ENSG00000267117,3,3,0,2,1,3
ENSG00000267119,4,3,3,4,9,8
ENSG00000267120,0,0,0,0,0,0
ENSG00000267121,101,244,44,169,75,52
ENSG00000267122,0,0,0,0,0,0
ENSG00000267123,1,3,0,7,15,3
ENSG00000267124,0,0,0,0,0,0
ENSG00000267125,0,0,0,0,0,0
ENSG00000267127,4,8,1,1,10,10
ENSG00000267128,0,0,0,0,0,0
ENSG00000267129,0,0,0,0,0,0
ENSG00000267130,0,0,0,2,0,0
ENSG00000267131,10,1,5,2,0,0
ENSG00000267132,0,0,0,0,0,0
ENSG00000267133,0,0,0,0,0,0
ENSG00000267134,0,1,0,7,0,0
ENSG00000267135,0,0,0,0,0,0
ENSG00000267136,30,2,16,26,25,17
ENSG00000267137,0,0,0,0,0,0
ENSG00000267138,0,0,0,0,0,0
ENSG00000267139,0,0,0,0,0,0
ENSG00000267140,0,0,0,0,0,0
ENSG00000267141,0,1,1,0,3,0
ENSG00000267142,0,0,0,0,0,0
ENSG00000267143,0,0,0,0,0,0
ENSG00000267144,0,0,0,0,0,0
ENSG00000267145,0,0,0,0,0,0
ENSG00000267146,4,2,1,0,1,0
ENSG00000267147,0,0,0,3,0,0
ENSG00000267148,0,0,0,1,0,0
ENSG00000267149,2,26,0,5,8,8
ENSG00000267150,8,10,1,10,4,0
ENSG00000267151,0,0,0,0,0,0
ENSG00000267152,0,0,8,0,7,4
ENSG00000267153,0,0,0,1,0,0
ENSG00000267154,0,0,0,0,0,0
ENSG00000267156,0,3,0,1,0,2
ENSG00000267157,0,0,0,0,0,0
ENSG00000267159,2,0,0,0,0,0
ENSG00000267160,3,2,4,12,2,0
ENSG00000267162,0,0,0,6,0,0
ENSG00000267165,0,0,0,0,0,0
ENSG00000267166,0,0,0,1,0,0
ENSG00000267168,0,0,0,0,0,0
ENSG00000267169,67,21,9,23,4,5
ENSG00000267170,0,0,0,0,0,0
ENSG00000267172,0,0,0,0,0,0
ENSG00000267173,0,0,0,0,0,0
ENSG00000267174,1,1,0,2,5,2
ENSG00000267175,0,0,0,0,0,0
ENSG00000267177,0,0,0,1,0,0
ENSG00000267178,1,9,0,0,0,3
ENSG00000267179,0,3,0,6,7,5
ENSG00000267180,0,0,0,0,0,0
ENSG00000267182,0,0,0,0,0,0
ENSG00000267184,0,0,0,0,0,0
ENSG00000267185,2,5,0,2,9,2
ENSG00000267187,0,0,0,0,0,0
ENSG00000267188,0,0,0,0,0,0
ENSG00000267189,0,0,0,0,0,0
ENSG00000267190,0,0,0,0,0,0
ENSG00000267191,4,14,1,17,4,12
ENSG00000267192,1,2,0,2,1,3
ENSG00000267193,4,0,1,0,0,0
ENSG00000267195,0,0,0,0,0,0
ENSG00000267196,0,0,0,0,0,0
ENSG00000267197,0,0,0,0,0,0
ENSG00000267198,2,12,4,9,9,13
ENSG00000267199,11,31,6,18,46,5
ENSG00000267200,0,0,0,0,0,0
ENSG00000267201,0,0,0,0,0,0
ENSG00000267202,0,0,0,0,0,0
ENSG00000267203,5,18,2,5,14,0
ENSG00000267204,0,0,0,0,0,0
ENSG00000267205,0,0,0,0,0,0
ENSG00000267206,1,0,0,0,0,0
ENSG00000267207,1,0,0,3,0,1
ENSG00000267209,1,0,0,0,0,0
ENSG00000267211,0,0,0,0,0,0
ENSG00000267212,10,2,1,2,1,2
ENSG00000267213,14,13,4,18,8,4
ENSG00000267214,71,10,21,47,271,43
ENSG00000267215,1,0,3,1,0,0
ENSG00000267216,25,16,10,15,3,23
ENSG00000267218,0,0,0,0,0,0
ENSG00000267219,6,3,0,3,1,0
ENSG00000267220,0,0,0,0,0,0
ENSG00000267221,5,9,5,13,4,6
ENSG00000267222,0,0,0,0,1,2
ENSG00000267223,0,0,0,0,0,0
ENSG00000267224,1,0,0,0,0,0
ENSG00000267225,1,0,0,0,0,0
ENSG00000267226,19,12,0,8,5,7
ENSG00000267227,0,0,0,0,0,0
ENSG00000267228,0,0,0,0,0,0
ENSG00000267231,0,0,0,0,0,0
ENSG00000267232,0,0,0,0,0,0
ENSG00000267233,0,0,0,4,0,0
ENSG00000267234,2,0,0,0,0,0
ENSG00000267235,0,0,0,0,0,0
ENSG00000267238,0,0,0,0,0,0
ENSG00000267239,0,0,0,0,0,0
ENSG00000267240,0,0,0,0,0,0
ENSG00000267241,0,0,0,0,0,0
ENSG00000267243,0,0,0,0,0,0
ENSG00000267244,58,54,3,12,23,14
ENSG00000267245,0,0,1,0,0,0
ENSG00000267246,0,0,0,0,0,0
ENSG00000267247,0,0,0,0,0,0
ENSG00000267248,0,5,1,8,0,0
ENSG00000267249,8,10,9,4,8,21
ENSG00000267250,5,0,0,0,2,0
ENSG00000267251,0,0,0,0,0,0
ENSG00000267252,0,0,0,20,0,0
ENSG00000267253,0,4,0,5,6,3
ENSG00000267254,106,139,76,135,217,182
ENSG00000267255,5,2,3,0,0,5
ENSG00000267257,5,0,0,0,0,0
ENSG00000267258,0,0,0,0,3,0
ENSG00000267259,3,0,0,0,0,1
ENSG00000267260,4,0,0,6,1,1
ENSG00000267261,0,0,0,0,0,0
ENSG00000267262,3,0,0,0,0,0
ENSG00000267263,0,0,0,0,0,0
ENSG00000267264,39,2,3,13,43,34
ENSG00000267265,70,54,29,66,58,55
ENSG00000267269,0,0,0,0,0,0
ENSG00000267270,6,0,3,13,0,3
ENSG00000267271,0,0,0,0,0,0
ENSG00000267272,0,0,1,0,0,0
ENSG00000267273,0,0,0,0,0,0
ENSG00000267274,7,8,3,12,1,9
ENSG00000267275,5,0,0,0,0,1
ENSG00000267277,3,0,3,4,3,7
ENSG00000267278,240,334,120,306,412,160
ENSG00000267279,0,0,0,0,0,0
ENSG00000267280,7,1,0,1,0,1
ENSG00000267281,0,0,0,0,0,0
ENSG00000267282,1,1,0,0,0,0
ENSG00000267283,0,0,0,0,0,0
ENSG00000267284,0,0,0,1,0,0
ENSG00000267285,4,0,4,7,13,0
ENSG00000267286,0,0,0,0,0,0
ENSG00000267287,1,2,0,10,39,0
ENSG00000267288,0,1,0,0,0,0
ENSG00000267289,0,0,1,0,10,0
ENSG00000267291,2,4,5,1,83,3
ENSG00000267292,0,0,0,0,0,0
ENSG00000267293,0,2,1,0,0,0
ENSG00000267295,0,0,0,0,0,0
ENSG00000267296,0,0,0,0,0,0
ENSG00000267298,18,7,9,9,31,26
ENSG00000267299,0,0,0,0,0,0
ENSG00000267301,0,0,0,0,1,0
ENSG00000267302,0,0,0,2,0,0
ENSG00000267303,0,0,0,0,0,0
ENSG00000267304,0,0,1,0,5,0
ENSG00000267305,0,0,0,0,0,0
ENSG00000267308,0,0,0,0,0,0
ENSG00000267309,1,3,15,6,8,17
ENSG00000267310,0,0,0,0,0,0
ENSG00000267311,0,0,0,2,0,0
ENSG00000267312,13,0,0,6,17,5
ENSG00000267313,1,0,0,0,0,0
ENSG00000267314,0,0,0,0,0,0
ENSG00000267315,0,0,0,0,8,0
ENSG00000267316,0,0,0,0,0,0
ENSG00000267317,3,7,1,4,6,1
ENSG00000267318,0,0,0,0,0,0
ENSG00000267319,3,0,0,1,9,1
ENSG00000267320,0,0,0,0,0,0
ENSG00000267321,109,70,14,98,97,51
ENSG00000267322,5,8,1,9,66,0
ENSG00000267323,1,1,0,1,0,0
ENSG00000267324,0,0,0,0,0,0
ENSG00000267325,1,0,0,0,0,0
ENSG00000267327,1,1,0,0,0,0
ENSG00000267328,0,0,0,0,0,0
ENSG00000267332,0,0,0,0,0,0
ENSG00000267333,0,0,0,0,0,0
ENSG00000267334,0,0,0,3,0,0
ENSG00000267335,0,0,0,0,0,0
ENSG00000267336,4,0,1,0,0,0
ENSG00000267337,0,0,3,0,0,0
ENSG00000267338,0,1,0,1,0,0
ENSG00000267339,0,0,1,21,1,1
ENSG00000267340,0,0,0,0,0,0
ENSG00000267341,0,0,0,0,0,0
ENSG00000267342,7,6,13,7,6,5
ENSG00000267343,0,0,0,0,0,0
ENSG00000267344,2,2,0,1,3,0
ENSG00000267345,0,0,0,2,0,0
ENSG00000267346,5,0,1,0,57,25
ENSG00000267348,36,32,1,33,43,5
ENSG00000267349,0,0,0,0,7,1
ENSG00000267352,0,0,0,0,0,0
ENSG00000267353,0,0,3,0,2,1
ENSG00000267354,0,0,0,0,0,0
ENSG00000267355,0,2,0,0,0,0
ENSG00000267356,0,0,0,0,0,0
ENSG00000267359,0,0,0,0,2,0
ENSG00000267360,0,0,1,1,0,0
ENSG00000267361,0,0,0,3,3,0
ENSG00000267363,0,0,0,0,0,0
ENSG00000267364,9,6,5,42,17,30
ENSG00000267365,0,0,0,0,0,0
ENSG00000267366,4,2,5,5,3,0
ENSG00000267368,0,0,0,0,0,0
ENSG00000267369,0,0,3,21,41,9
ENSG00000267370,12,10,3,2,12,3
ENSG00000267371,0,0,0,0,0,0
ENSG00000267372,0,0,0,0,0,0
ENSG00000267373,2,0,0,0,0,0
ENSG00000267374,1,0,2,5,1,0
ENSG00000267375,1,6,0,0,0,1
ENSG00000267376,0,0,0,0,0,0
ENSG00000267378,0,0,0,0,0,0
ENSG00000267379,0,0,0,0,0,0
ENSG00000267382,0,0,0,0,0,0
ENSG00000267383,42,40,27,36,29,13
ENSG00000267384,0,0,0,0,0,0
ENSG00000267385,0,1,1,0,0,0
ENSG00000267387,3,8,2,4,37,4
ENSG00000267388,0,0,0,0,0,0
ENSG00000267389,5,23,6,0,0,0
ENSG00000267390,2,5,0,10,13,8
ENSG00000267391,0,0,0,0,0,0
ENSG00000267392,0,0,0,3,0,0
ENSG00000267393,0,0,0,0,0,0
ENSG00000267394,15,12,4,5,11,3
ENSG00000267395,0,1,0,1,1,0
ENSG00000267396,0,0,0,0,0,0
ENSG00000267397,19,26,16,30,151,10
ENSG00000267398,0,0,0,0,0,0
ENSG00000267399,0,0,0,0,0,1
ENSG00000267400,0,0,0,0,0,0
ENSG00000267401,0,0,0,1,0,0
ENSG00000267402,3,0,6,3,0,0
ENSG00000267404,0,0,0,0,0,0
ENSG00000267405,0,0,0,0,0,0
ENSG00000267406,0,0,0,0,1,0
ENSG00000267407,0,0,0,0,0,0
ENSG00000267408,4,0,0,0,0,0
ENSG00000267409,0,0,0,0,0,0
ENSG00000267412,38,20,4,8,17,4
ENSG00000267413,0,0,0,0,0,0
ENSG00000267414,7,29,25,35,197,0
ENSG00000267415,0,0,0,0,0,0
ENSG00000267416,1,0,2,9,3,0
ENSG00000267417,0,0,0,0,0,0
ENSG00000267418,0,0,0,0,0,0
ENSG00000267419,28,54,26,32,96,24
ENSG00000267420,0,0,0,0,0,0
ENSG00000267421,1,0,0,2,0,0
ENSG00000267422,3,5,0,5,2,2
ENSG00000267423,0,0,0,1,0,0
ENSG00000267424,0,0,0,0,0,0
ENSG00000267425,0,0,0,0,0,0
ENSG00000267426,0,0,0,0,0,0
ENSG00000267428,0,0,0,2,0,0
ENSG00000267429,0,0,1,0,1,0
ENSG00000267430,51,15,23,17,2,23
ENSG00000267432,1,1,0,0,0,0
ENSG00000267433,0,0,0,0,0,0
ENSG00000267436,0,0,0,0,0,0
ENSG00000267437,0,0,0,4,0,0
ENSG00000267439,0,1,0,0,0,0
ENSG00000267440,0,0,0,1,0,0
ENSG00000267441,0,0,0,0,0,0
ENSG00000267443,0,0,0,0,0,0
ENSG00000267444,0,0,0,0,0,0
ENSG00000267446,0,0,0,0,0,0
ENSG00000267448,0,0,0,0,0,0
ENSG00000267449,2,0,0,0,2,0
ENSG00000267450,0,0,0,0,0,0
ENSG00000267452,0,0,0,1,0,0
ENSG00000267453,0,0,0,0,0,0
ENSG00000267454,28,55,12,49,43,47
ENSG00000267455,0,0,0,0,0,0
ENSG00000267456,0,0,0,0,0,0
ENSG00000267457,1,2,4,1,1,0
ENSG00000267458,0,0,0,0,0,0
ENSG00000267461,0,0,1,0,0,0
ENSG00000267462,0,0,0,0,0,0
ENSG00000267463,4,0,2,3,13,2
ENSG00000267465,0,0,0,0,0,0
ENSG00000267466,0,0,0,0,0,0
ENSG00000267467,0,0,0,0,0,0
ENSG00000267469,0,0,0,0,0,0
ENSG00000267470,68,65,14,83,156,144
ENSG00000267471,0,0,0,0,0,0
ENSG00000267472,0,0,0,0,1,0
ENSG00000267474,11,22,4,10,0,9
ENSG00000267475,3,0,0,10,19,3
ENSG00000267476,107,74,42,43,38,63
ENSG00000267477,0,0,0,0,0,0
ENSG00000267478,0,0,0,0,1,2
ENSG00000267480,0,0,0,2,1,1
ENSG00000267481,51,72,67,117,48,27
ENSG00000267482,0,0,0,0,0,0
ENSG00000267484,0,0,0,0,0,0
ENSG00000267486,0,1,0,0,0,0
ENSG00000267487,0,0,0,0,0,0
ENSG00000267489,1,1,0,3,0,0
ENSG00000267490,0,0,0,0,0,0
ENSG00000267491,0,20,0,0,11,0
ENSG00000267492,0,0,0,0,0,0
ENSG00000267493,25,16,1,20,10,45
ENSG00000267496,0,0,0,2,0,0
ENSG00000267497,0,0,0,0,0,0
ENSG00000267498,0,0,0,0,0,0
ENSG00000267500,0,0,0,0,0,1
ENSG00000267501,5,2,0,0,4,0
ENSG00000267503,1,0,1,2,0,2
ENSG00000267504,3,0,0,0,0,0
ENSG00000267505,0,0,0,0,0,0
ENSG00000267506,0,0,0,0,0,0
ENSG00000267507,1,0,0,9,1,7
ENSG00000267508,5,12,4,46,131,36
ENSG00000267509,0,0,0,0,0,0
ENSG00000267510,0,0,0,0,0,0
ENSG00000267511,0,0,0,0,0,0
ENSG00000267512,0,0,0,0,0,0
ENSG00000267513,0,0,0,0,0,0
ENSG00000267515,1,0,0,1,0,0
ENSG00000267517,0,0,0,0,0,0
ENSG00000267518,0,1,0,0,0,1
ENSG00000267519,347,80,33,96,116,132
ENSG00000267520,0,0,0,0,0,0
ENSG00000267521,0,0,0,0,0,0
ENSG00000267522,1,5,0,2,0,0
ENSG00000267523,28,30,37,3,21,5
ENSG00000267524,0,0,0,0,0,0
ENSG00000267526,20,4,10,16,12,4
ENSG00000267529,4,5,4,21,25,15
ENSG00000267530,0,0,0,0,0,0
ENSG00000267532,0,0,0,0,0,0
ENSG00000267533,0,1,0,0,0,0
ENSG00000267534,0,7,2,1,0,17
ENSG00000267535,0,0,0,3,0,0
ENSG00000267537,0,0,0,0,0,0
ENSG00000267541,9,2,2,1,1,1
ENSG00000267543,3,4,0,12,0,1
ENSG00000267544,2,1,0,0,2,0
ENSG00000267546,2,0,0,4,2,0
ENSG00000267547,6,1,0,1,1,0
ENSG00000267549,0,2,3,1,5,0
ENSG00000267550,0,0,0,4,0,4
ENSG00000267551,0,0,0,0,0,0
ENSG00000267552,0,0,0,0,0,0
ENSG00000267554,0,0,0,0,0,0
ENSG00000267555,0,0,0,0,0,0
ENSG00000267557,2,6,9,5,0,0
ENSG00000267558,0,0,0,1,0,0
ENSG00000267559,1,0,0,0,1,0
ENSG00000267560,18,4,8,3,24,4
ENSG00000267561,2,0,0,2,4,1
ENSG00000267563,0,0,0,1,0,0
ENSG00000267564,0,0,0,0,0,0
ENSG00000267565,15,3,9,7,1,1
ENSG00000267567,0,0,0,0,0,3
ENSG00000267568,0,0,0,0,0,0
ENSG00000267570,0,0,0,0,0,4
ENSG00000267571,20,12,0,7,16,0
ENSG00000267573,0,0,0,0,0,0
ENSG00000267574,0,0,0,0,0,0
ENSG00000267575,262,239,191,242,330,249
ENSG00000267576,0,0,0,0,0,0
ENSG00000267577,0,0,0,0,0,0
ENSG00000267579,0,0,0,0,0,0
ENSG00000267580,0,0,0,0,0,0
ENSG00000267581,1,0,0,0,0,0
ENSG00000267582,1,0,0,0,0,0
ENSG00000267583,0,4,2,2,0,0
ENSG00000267585,0,0,0,0,0,0
ENSG00000267586,11,1,4,16,15,2
ENSG00000267587,28,20,2,2,0,3
ENSG00000267589,0,0,0,0,1,0
ENSG00000267590,5,9,1,5,1,11
ENSG00000267591,2,0,0,0,0,6
ENSG00000267592,1,0,0,0,0,0
ENSG00000267593,1,0,0,2,25,0
ENSG00000267594,0,0,0,2,0,0
ENSG00000267595,4,0,0,2,0,1
ENSG00000267597,0,0,0,0,0,0
ENSG00000267598,0,0,0,0,0,0
ENSG00000267599,0,0,0,0,0,0
ENSG00000267601,0,0,0,0,0,0
ENSG00000267603,0,0,0,0,0,0
ENSG00000267604,0,0,0,0,0,0
ENSG00000267605,6,4,1,3,2,2
ENSG00000267606,0,0,0,0,0,1
ENSG00000267607,0,0,0,0,0,0
ENSG00000267609,0,0,0,0,0,0
ENSG00000267610,0,0,0,0,1,0
ENSG00000267611,0,0,1,0,0,0
ENSG00000267612,5,1,0,0,57,0
ENSG00000267614,0,0,0,0,0,0
ENSG00000267615,0,0,0,0,0,0
ENSG00000267617,0,0,0,0,0,0
ENSG00000267618,0,0,0,0,0,0
ENSG00000267620,0,0,0,0,0,0
ENSG00000267623,2,0,0,0,0,5
ENSG00000267624,0,0,0,0,0,0
ENSG00000267625,0,0,0,0,0,0
ENSG00000267626,1,4,0,2,0,0
ENSG00000267627,0,0,0,0,1,0
ENSG00000267628,0,0,0,0,0,0
ENSG00000267629,0,0,0,0,0,0
ENSG00000267630,1,0,0,0,0,0
ENSG00000267631,0,0,0,0,0,0
ENSG00000267632,12,1,10,8,0,1
ENSG00000267633,0,0,0,0,0,0
ENSG00000267634,0,0,0,0,0,3
ENSG00000267636,0,0,0,0,0,0
ENSG00000267637,3,2,1,0,1,6
ENSG00000267638,11,7,0,11,0,3
ENSG00000267640,0,0,0,0,0,0
ENSG00000267641,0,0,4,0,0,6
ENSG00000267642,0,0,0,0,0,0
ENSG00000267643,0,0,0,0,0,0
ENSG00000267644,10,0,22,0,10,0
ENSG00000267645,0,0,0,0,0,0
ENSG00000267646,4,18,21,17,19,0
ENSG00000267647,0,0,0,0,0,0
ENSG00000267648,0,0,0,3,0,0
ENSG00000267649,15,3,1,39,76,7
ENSG00000267650,0,0,0,0,0,0
ENSG00000267651,17,19,9,4,3,4
ENSG00000267652,0,2,1,0,1,0
ENSG00000267653,3,0,0,0,0,0
ENSG00000267655,13,10,19,6,0,27
ENSG00000267656,0,0,0,0,0,0
ENSG00000267658,9,3,2,1,5,7
ENSG00000267659,0,0,1,1,0,0
ENSG00000267661,0,1,0,0,0,0
ENSG00000267662,0,0,0,0,0,0
ENSG00000267663,0,0,0,0,0,0
ENSG00000267664,0,0,0,0,0,0
ENSG00000267665,0,0,1,1,0,0
ENSG00000267666,1,4,0,1,0,0
ENSG00000267669,1,2,0,2,0,4
ENSG00000267670,0,0,0,0,0,0
ENSG00000267672,10,14,22,14,17,4
ENSG00000267673,0,0,0,0,0,0
ENSG00000267674,0,0,0,0,0,0
ENSG00000267675,0,0,0,0,0,0
ENSG00000267676,0,0,0,0,0,0
ENSG00000267677,0,0,0,9,0,0
ENSG00000267678,0,0,0,0,0,0
ENSG00000267679,0,0,0,0,0,1
ENSG00000267680,335,239,159,423,256,117
ENSG00000267681,0,0,0,0,7,0
ENSG00000267682,17,16,6,13,19,3
ENSG00000267683,0,0,0,0,0,0
ENSG00000267685,0,0,0,0,0,0
ENSG00000267686,0,0,0,0,0,0
ENSG00000267687,0,0,0,0,0,0
ENSG00000267688,0,0,0,0,0,0
ENSG00000267689,0,0,0,0,0,0
ENSG00000267690,1,0,0,0,0,0
ENSG00000267691,0,4,0,3,5,1
ENSG00000267692,9,4,0,2,18,5
ENSG00000267693,0,1,0,3,10,0
ENSG00000267694,0,0,0,0,0,0
ENSG00000267695,0,0,0,0,0,0
ENSG00000267696,0,1,0,0,0,1
ENSG00000267698,5,3,2,1,0,1
ENSG00000267699,0,0,0,0,0,0
ENSG00000267703,5,2,2,1,0,0
ENSG00000267704,0,0,0,0,0,0
ENSG00000267705,0,0,0,0,0,0
ENSG00000267706,0,0,0,0,0,0
ENSG00000267707,3,8,4,7,0,0
ENSG00000267708,6,2,7,3,5,1
ENSG00000267709,0,0,2,0,1,2
ENSG00000267710,28,18,11,14,84,9
ENSG00000267711,0,0,0,0,0,0
ENSG00000267712,0,0,0,1,0,0
ENSG00000267713,0,0,0,0,0,0
ENSG00000267714,0,0,0,0,1,0
ENSG00000267716,0,0,0,0,0,0
ENSG00000267717,26,9,16,4,0,0
ENSG00000267719,2,12,4,2,0,0
ENSG00000267722,0,0,0,0,0,0
ENSG00000267723,2,0,0,0,0,2
ENSG00000267724,39,59,22,37,99,10
ENSG00000267725,0,0,0,0,0,0
ENSG00000267726,0,0,0,0,0,0
ENSG00000267727,0,0,0,0,0,0
ENSG00000267729,2,0,0,0,0,0
ENSG00000267731,134,89,53,128,485,65
ENSG00000267732,0,0,0,1,0,0
ENSG00000267733,0,0,0,0,0,0
ENSG00000267734,12,4,1,0,8,0
ENSG00000267735,0,0,0,0,0,0
ENSG00000267736,0,0,4,0,1,1
ENSG00000267737,3,17,1,0,12,5
ENSG00000267740,0,0,0,0,0,0
ENSG00000267741,0,4,1,2,1,1
ENSG00000267742,5,8,6,3,5,2
