genes,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4,smB_S2R1,smB_S2R2,smB_S2R3
ENSG00000132256,484,239,234,443,468,79,376
ENSG00000132259,0,0,0,0,1,28,1
ENSG00000132274,9206,6419,5086,10270,8711,6869,6586
ENSG00000132275,435,480,295,311,318,200,406
ENSG00000132286,664,705,434,589,511,753,450
ENSG00000132294,1749,1869,1113,1172,1774,1643,1241
ENSG00000132297,0,0,0,0,0,0,0
ENSG00000132300,2198,2348,1819,1701,1957,1727,1825
ENSG00000132305,1281,956,870,975,986,555,1121
ENSG00000132313,289,309,243,175,249,235,252
ENSG00000132321,0,0,0,0,0,15,0
ENSG00000132323,832,696,488,537,573,544,523
ENSG00000132326,215,121,185,59,150,199,200
ENSG00000132329,0,0,0,0,0,8,0
ENSG00000132330,51,8,8,20,37,18,40
ENSG00000132334,455,301,616,586,520,566,642
ENSG00000132341,2231,2184,2403,2849,1612,2336,1789
ENSG00000132356,1857,1114,1224,1091,1740,917,1102
ENSG00000132357,22,18,21,59,45,94,45
ENSG00000132359,587,546,314,429,396,115,204
ENSG00000132361,627,415,128,310,472,109,169
ENSG00000132376,1213,680,1099,755,1021,1238,932
ENSG00000132382,1057,803,761,625,987,466,807
ENSG00000132383,2794,1533,1471,1393,2692,1847,1744
ENSG00000132386,140,61,143,161,251,195,232
ENSG00000132388,3427,2099,2431,2375,2517,2071,2832
ENSG00000132394,563,302,305,311,224,178,273
ENSG00000132405,568,330,235,405,516,362,344
ENSG00000132406,317,197,393,278,249,273,253
ENSG00000132423,43,4,69,59,17,7,64
ENSG00000132424,6591,5807,5135,5631,5247,5015,4708
ENSG00000132429,0,0,0,0,0,0,0
ENSG00000132432,52,41,21,39,58,18,46
ENSG00000132434,135,211,158,177,207,318,232
ENSG00000132436,582,178,236,241,330,82,420
ENSG00000132437,0,0,0,0,0,0,0
ENSG00000132446,0,0,0,0,0,0,0
ENSG00000132463,2024,679,413,1289,1983,1260,1489
ENSG00000132464,125,26,82,68,90,15,99
ENSG00000132465,14173,10606,14656,22553,7971,6927,18315
ENSG00000132466,1779,753,776,881,1304,1004,767
ENSG00000132467,264,193,133,197,225,169,87
ENSG00000132470,13,0,16,0,1,4,3
ENSG00000132471,2529,1825,1837,1850,1692,1872,1568
ENSG00000132475,9217,11789,9465,13240,9378,21830,10558
ENSG00000132478,186,282,194,205,207,238,285
ENSG00000132481,135,59,119,61,31,4,57
ENSG00000132485,2631,1705,1613,1629,2195,1717,1710
ENSG00000132507,879,950,1330,1284,727,1490,1913
ENSG00000132510,262,156,173,271,252,329,100
ENSG00000132514,35,17,17,26,5,16,49
ENSG00000132517,0,0,0,1,0,0,0
ENSG00000132518,0,0,0,0,1,0,0
ENSG00000132522,50,26,20,31,27,36,39
ENSG00000132530,650,284,207,1396,577,161,287
ENSG00000132535,23,3,21,0,39,16,11
ENSG00000132541,93,39,60,140,86,99,50
ENSG00000132549,3008,2308,1452,1390,3297,2134,1429
ENSG00000132554,0,0,0,0,0,0,0
ENSG00000132561,14,4,0,9,3,27,3
ENSG00000132563,0,0,0,2,0,0,0
ENSG00000132570,290,234,195,107,199,182,199
ENSG00000132581,301,232,420,494,230,354,301
ENSG00000132589,4977,3776,3485,3488,4314,3684,4070
ENSG00000132591,629,505,463,581,516,745,381
ENSG00000132600,1046,757,757,658,829,575,646
ENSG00000132603,725,581,559,669,310,364,255
ENSG00000132604,694,463,419,369,240,178,227
ENSG00000132612,652,271,154,474,488,474,456
ENSG00000132613,5,2,2,9,0,2,2
ENSG00000132622,10,9,15,6,3,2,7
ENSG00000132623,390,85,126,48,179,31,153
ENSG00000132631,0,0,0,0,0,0,0
ENSG00000132635,486,319,360,476,416,317,401
ENSG00000132639,17,8,5,0,0,0,0
ENSG00000132640,20,0,25,15,0,141,0
ENSG00000132646,352,184,266,288,213,235,189
ENSG00000132661,172,161,346,236,163,261,203
ENSG00000132664,282,199,154,236,176,203,163
ENSG00000132669,29,27,78,227,27,96,86
ENSG00000132670,916,275,209,530,828,316,540
ENSG00000132671,0,0,0,0,0,0,0
ENSG00000132676,1127,1143,1050,896,813,1121,1041
ENSG00000132677,0,0,0,0,0,0,0
ENSG00000132680,814,418,443,524,509,377,364
ENSG00000132681,0,0,0,22,0,0,0
ENSG00000132688,0,0,0,0,0,0,0
ENSG00000132692,0,0,4,0,0,0,0
ENSG00000132693,0,0,0,0,0,0,0
ENSG00000132694,47,0,41,2,71,0,24
ENSG00000132698,19,16,1,7,0,0,0
ENSG00000132702,0,0,0,0,0,0,0
ENSG00000132703,0,0,0,0,0,0,0
ENSG00000132704,5253,2797,2922,2848,8949,7560,6071
ENSG00000132716,2120,1597,1478,1088,1891,1565,1733
ENSG00000132718,401,558,462,285,182,157,112
ENSG00000132740,457,196,226,367,450,124,196
ENSG00000132744,1,1,19,0,3,0,3
ENSG00000132746,0,0,0,0,0,0,0
ENSG00000132749,22,0,13,16,14,0,24
ENSG00000132763,33,18,11,8,54,4,60
ENSG00000132768,855,677,925,598,697,823,732
ENSG00000132773,280,353,198,334,361,347,228
ENSG00000132780,1757,1062,1014,1064,1461,937,1332
ENSG00000132781,33,32,13,21,19,38,21
ENSG00000132792,1393,1160,979,918,1176,1258,1031
ENSG00000132793,16,0,10,12,6,3,8
ENSG00000132801,143,102,21,27,53,51,33
ENSG00000132819,272,233,149,461,259,577,172
ENSG00000132821,0,0,0,0,0,0,0
ENSG00000132823,1549,1984,1333,1437,1588,2014,1528
ENSG00000132824,3145,2531,2630,2551,2657,2900,2281
ENSG00000132825,50,0,20,58,35,0,29
ENSG00000132832,0,0,2,0,0,0,0
ENSG00000132837,10,5,0,0,2,6,1
ENSG00000132840,6,0,0,33,0,0,0
ENSG00000132842,1845,1377,614,609,1507,2421,1367
ENSG00000132846,56,5,8,19,5,6,11
ENSG00000132849,1029,1035,482,503,619,319,420
ENSG00000132854,0,0,0,0,0,0,0
ENSG00000132855,9,7,0,0,7,18,8
ENSG00000132872,0,0,0,0,0,0,0
ENSG00000132874,29,0,0,0,4,0,12
ENSG00000132879,743,847,605,614,746,878,736
ENSG00000132881,19,1,11,19,13,11,10
ENSG00000132906,440,298,302,258,260,275,367
ENSG00000132911,0,0,0,0,0,0,0
ENSG00000132912,926,702,444,490,649,449,599
ENSG00000132915,0,2,0,0,10,0,1
ENSG00000132932,1,1,0,0,0,0,2
ENSG00000132938,23,1,0,0,10,0,0
ENSG00000132950,907,652,402,676,539,878,379
ENSG00000132952,1606,1532,870,1309,1270,1260,1067
ENSG00000132953,947,870,426,351,438,259,399
ENSG00000132958,12,0,0,0,3,0,2
ENSG00000132963,189,121,152,168,144,187,147
ENSG00000132964,231,68,52,145,156,55,38
ENSG00000132965,206,186,239,364,347,714,611
ENSG00000132967,163,167,265,178,134,242,192
ENSG00000132970,6,0,2,4,6,16,0
ENSG00000132972,32,0,0,0,8,0,0
ENSG00000132975,0,0,2,0,0,0,0
ENSG00000133019,0,0,0,0,0,0,0
ENSG00000133020,0,0,0,0,0,0,0
ENSG00000133026,277,341,253,180,406,316,197
ENSG00000133027,32,28,37,22,23,28,33
ENSG00000133028,407,287,217,367,318,161,253
ENSG00000133030,1208,909,645,610,1073,313,380
ENSG00000133048,0,24,0,57,0,19,0
ENSG00000133055,0,0,0,0,0,0,0
ENSG00000133056,507,622,432,453,513,381,270
ENSG00000133059,475,303,377,198,345,319,356
ENSG00000133063,12,74,3,15,15,35,48
ENSG00000133065,370,539,216,204,419,480,232
ENSG00000133067,0,12,57,0,0,0,9
ENSG00000133069,118,120,126,39,48,11,34
ENSG00000133083,0,0,0,0,0,0,0
ENSG00000133101,12,0,0,0,0,0,0
ENSG00000133103,518,371,541,299,420,373,415
ENSG00000133104,338,173,185,331,389,585,428
ENSG00000133105,0,3,0,0,0,0,0
ENSG00000133106,921,366,1133,1759,514,482,1118
ENSG00000133107,0,0,0,0,0,0,0
ENSG00000133110,0,0,0,0,0,0,0
ENSG00000133111,43,31,19,50,72,43,39
ENSG00000133112,2255,1638,1647,1870,1997,991,1497
ENSG00000133114,471,475,370,255,566,272,349
ENSG00000133115,0,0,0,0,0,0,0
ENSG00000133116,0,0,38,0,0,0,5
ENSG00000133119,104,83,90,68,96,100,91
ENSG00000133121,0,0,0,0,0,0,0
ENSG00000133124,0,0,0,0,0,0,0
ENSG00000133131,48,0,18,37,1,0,16
ENSG00000133134,105,54,125,78,46,95,83
ENSG00000133135,0,0,0,0,0,0,0
ENSG00000133136,0,0,0,0,0,0,0
ENSG00000133138,53,1,1,4,32,35,20
ENSG00000133142,105,105,134,148,79,92,66
ENSG00000133169,0,0,1,4,0,1,0
ENSG00000133193,570,488,440,474,692,810,434
ENSG00000133195,347,237,448,453,318,426,368
ENSG00000133216,16,0,0,0,0,0,0
ENSG00000133226,2473,2108,1803,2038,2284,2204,1817
ENSG00000133243,193,101,104,122,187,148,83
ENSG00000133246,78,34,248,225,79,155,198
ENSG00000133247,19,7,0,15,35,10,17
ENSG00000133250,36,27,17,37,13,67,39
ENSG00000133256,127,81,107,85,105,189,153
ENSG00000133265,288,156,90,198,143,198,214
ENSG00000133275,214,130,73,249,144,170,110
ENSG00000133302,133,91,129,92,77,151,158
ENSG00000133313,4241,2338,2010,3360,3882,2676,2314
ENSG00000133315,3,7,0,3,9,4,0
ENSG00000133316,360,332,601,575,354,444,477
ENSG00000133317,23,0,41,17,6,12,20
ENSG00000133318,1196,1204,1067,1511,1169,1317,1048
ENSG00000133321,146,58,172,116,132,69,120
ENSG00000133328,7,5,8,6,5,0,3
ENSG00000133392,154,145,125,90,191,75,108
ENSG00000133393,629,847,554,555,822,866,512
ENSG00000133398,541,769,750,732,515,707,650
ENSG00000133401,42,11,50,19,17,41,57
ENSG00000133422,129,80,103,127,115,100,119
ENSG00000133424,320,341,136,152,151,449,65
ENSG00000133433,0,0,0,0,0,0,0
ENSG00000133454,0,0,0,0,0,0,0
ENSG00000133460,246,198,201,214,297,238,198
ENSG00000133466,89,18,150,87,115,100,96
ENSG00000133475,0,0,0,0,0,0,0
ENSG00000133477,0,0,0,0,0,11,0
ENSG00000133488,0,10,0,0,0,0,0
ENSG00000133519,0,0,0,0,0,0,4
ENSG00000133561,100,24,191,205,83,121,155
ENSG00000133574,216,102,364,557,115,201,367
ENSG00000133597,228,36,51,140,156,58,59
ENSG00000133606,4405,1639,959,2936,3189,1411,963
ENSG00000133612,141,36,55,70,99,90,18
ENSG00000133619,203,246,119,76,113,131,120
ENSG00000133624,389,241,257,248,242,216,164
ENSG00000133627,78,8,30,71,138,20,47
ENSG00000133636,0,0,0,0,0,0,0
ENSG00000133639,5970,737,955,7639,4798,9115,5373
ENSG00000133640,0,0,0,0,0,0,0
ENSG00000133641,309,287,209,181,274,208,173
ENSG00000133657,570,350,310,317,655,407,327
ENSG00000133661,0,0,9,0,0,0,3
ENSG00000133665,0,0,0,0,0,0,0
ENSG00000133678,333,272,282,253,300,262,237
ENSG00000133687,0,11,0,0,0,0,0
ENSG00000133703,662,376,333,283,604,428,463
ENSG00000133704,807,558,496,612,440,418,493
ENSG00000133706,2130,1871,1764,1033,2122,1757,2005
ENSG00000133710,0,0,0,0,0,0,0
ENSG00000133731,559,313,414,436,338,359,316
ENSG00000133739,110,67,36,31,107,81,38
ENSG00000133740,685,312,325,469,1037,728,585
ENSG00000133742,174,65,11,441,198,116,61
ENSG00000133773,419,710,354,529,569,742,426
ENSG00000133789,9403,7503,4431,6896,7680,10542,5396
ENSG00000133794,327,372,271,292,323,328,211
ENSG00000133800,22,38,19,3,19,25,14
ENSG00000133805,1889,881,664,766,1446,779,868
ENSG00000133812,302,196,90,70,292,139,154
ENSG00000133816,323,154,64,380,189,78,99
ENSG00000133818,408,379,149,373,414,528,279
ENSG00000133835,2073,1119,845,1144,2149,1125,1477
ENSG00000133858,1809,1265,875,1305,1556,934,869
ENSG00000133863,0,0,0,0,0,0,0
ENSG00000133872,7574,6019,5147,6111,6889,6163,5768
ENSG00000133874,18,15,13,18,11,24,35
ENSG00000133878,0,0,0,0,0,0,0
ENSG00000133884,1677,1456,1342,1524,1690,1256,1086
ENSG00000133895,269,78,44,179,234,76,94
ENSG00000133935,226,349,360,344,213,398,208
ENSG00000133937,0,0,0,0,1,0,0
ENSG00000133943,1912,1094,1182,1204,1841,901,1138
ENSG00000133958,1,0,0,2,50,49,0
ENSG00000133961,2859,2315,1636,1632,1755,2009,2060
ENSG00000133962,0,0,2,0,2,0,0
ENSG00000133980,0,0,0,0,0,0,0
ENSG00000133983,103,89,78,88,43,104,93
ENSG00000133985,147,65,97,63,107,124,57
ENSG00000133997,440,381,320,411,375,546,396
ENSG00000134001,1301,1194,739,1026,1009,1135,873
ENSG00000134007,23,0,0,2,0,0,14
ENSG00000134013,99,60,97,65,59,34,83
ENSG00000134014,1070,677,846,580,1130,925,754
ENSG00000134020,8,0,3,0,4,0,0
ENSG00000134028,168,89,67,94,48,22,34
ENSG00000134030,38,34,30,46,71,46,19
ENSG00000134042,0,0,0,0,3,0,5
ENSG00000134046,180,232,168,138,108,91,50
ENSG00000134049,446,563,397,552,276,451,398
ENSG00000134056,94,58,130,97,75,51,49
ENSG00000134057,103,77,108,66,50,147,51
ENSG00000134058,149,276,229,271,165,310,167
ENSG00000134061,5194,2812,2983,2707,5296,2458,3144
ENSG00000134070,282,93,65,203,346,223,165
ENSG00000134072,12,7,5,7,6,11,7
ENSG00000134077,246,194,188,130,114,106,146
ENSG00000134086,394,70,151,180,275,199,204
ENSG00000134107,375,240,220,545,292,182,212
ENSG00000134108,1367,1420,1210,1167,1215,1309,1291
ENSG00000134109,3529,2306,2518,2120,1794,1533,1904
ENSG00000134115,0,0,0,0,2,0,0
ENSG00000134121,21,1,0,5,215,279,111
ENSG00000134138,2,22,1,0,0,0,0
ENSG00000134146,202,82,54,168,154,151,151
ENSG00000134152,820,651,500,592,717,543,581
ENSG00000134153,301,348,624,536,265,510,389
ENSG00000134160,0,1,0,0,3,0,0
ENSG00000134183,123,76,51,26,55,30,38
ENSG00000134184,33,60,0,111,58,79,0
ENSG00000134186,2712,2506,1781,1619,1762,2584,1753
ENSG00000134193,0,0,0,0,0,0,0
ENSG00000134198,2,49,52,63,3,5,31
ENSG00000134200,0,0,0,0,0,0,0
ENSG00000134201,0,0,0,0,0,0,0
ENSG00000134202,0,18,0,20,11,0,9
ENSG00000134207,0,0,0,0,0,0,0
ENSG00000134215,438,273,168,328,562,495,218
ENSG00000134216,0,0,3,0,0,7,0
ENSG00000134222,0,5,18,30,17,15,0
ENSG00000134240,0,0,0,0,0,0,0
ENSG00000134242,1807,1314,1010,847,2688,2150,1255
ENSG00000134243,164,1,74,175,52,63,36
ENSG00000134245,84,37,32,11,29,45,55
ENSG00000134247,0,0,0,0,0,0,0
ENSG00000134248,624,457,351,657,795,1118,489
ENSG00000134249,0,0,0,0,0,0,0
ENSG00000134250,4095,2847,2050,2152,4639,3108,2926
ENSG00000134253,76,43,43,24,4,0,7
ENSG00000134255,1743,1051,1170,888,2112,1612,1632
ENSG00000134256,12,48,42,73,42,21,59
ENSG00000134258,0,0,0,0,0,0,0
ENSG00000134259,0,0,0,0,0,0,0
ENSG00000134262,656,524,402,309,853,912,620
ENSG00000134265,575,688,463,423,697,672,523
ENSG00000134278,4,5,1,0,0,0,2
ENSG00000134283,1950,1360,1271,1396,1397,1333,1298
ENSG00000134285,284,117,130,222,249,103,130
ENSG00000134287,1134,208,291,682,917,765,449
ENSG00000134291,428,430,501,453,494,446,448
ENSG00000134294,2979,2663,2163,2260,3419,1956,2549
ENSG00000134297,172,73,40,90,192,179,115
ENSG00000134308,3455,3653,2717,2945,3153,3172,2875
ENSG00000134313,1422,1517,810,743,1659,1562,924
ENSG00000134317,0,1,6,1,2,0,17
ENSG00000134318,348,349,214,249,404,253,134
ENSG00000134321,237,25,148,733,107,0,136
ENSG00000134323,0,0,0,0,0,0,0
ENSG00000134324,973,1003,830,784,880,798,528
ENSG00000134326,145,20,48,325,74,54,117
ENSG00000134330,332,282,401,317,208,276,235
ENSG00000134333,4685,4263,3589,3524,3020,2986,2886
ENSG00000134339,0,0,2,3,0,0,0
ENSG00000134343,0,0,0,0,0,0,0
ENSG00000134352,436,131,157,427,354,325,395
ENSG00000134363,0,0,0,0,0,0,0
ENSG00000134365,0,0,0,0,0,0,0
ENSG00000134369,103,209,99,32,38,30,79
ENSG00000134371,1458,906,304,1043,914,706,521
ENSG00000134375,327,322,231,309,304,303,331
ENSG00000134376,0,0,0,0,0,0,2
ENSG00000134389,0,0,0,0,0,0,0
ENSG00000134398,0,1,0,0,0,0,0
ENSG00000134419,305,155,182,173,290,212,153
ENSG00000134438,0,0,0,0,0,0,0
ENSG00000134440,2502,1933,1636,2034,1785,1748,1766
ENSG00000134443,0,0,0,0,0,0,0
ENSG00000134444,1507,1173,548,834,1184,1312,761
ENSG00000134452,774,325,331,495,687,444,456
ENSG00000134453,2555,1948,1265,1657,1855,1945,1701
ENSG00000134460,444,592,244,436,739,769,464
ENSG00000134461,34,3,6,42,42,19,8
ENSG00000134463,0,7,2,9,8,0,7
ENSG00000134470,168,144,190,194,61,50,114
ENSG00000134480,573,626,418,516,514,585,363
ENSG00000134489,0,0,0,0,2,0,0
ENSG00000134490,146,271,190,129,154,165,207
ENSG00000134504,2,11,11,7,1,0,8
ENSG00000134508,0,0,9,0,2,0,0
ENSG00000134516,7444,5965,4303,3365,6461,4347,4857
ENSG00000134531,6,0,4,0,0,1,0
ENSG00000134532,591,117,191,123,570,208,311
ENSG00000134533,0,0,0,0,0,0,0
ENSG00000134538,0,0,0,0,0,0,0
ENSG00000134539,55,94,226,149,80,173,294
ENSG00000134545,0,0,7,1,11,20,13
ENSG00000134548,30,37,14,1,0,1,9
ENSG00000134551,23,13,25,17,33,16,13
ENSG00000134569,0,0,0,0,0,0,0
ENSG00000134571,9,27,17,3,29,0,18
ENSG00000134574,846,645,570,331,702,761,633
ENSG00000134575,85,167,139,79,105,97,88
ENSG00000134588,0,0,0,0,0,0,0
ENSG00000134590,87,82,154,122,79,101,114
ENSG00000134594,30,26,24,31,7,15,10
ENSG00000134595,0,0,0,0,0,0,0
ENSG00000134597,155,65,103,72,74,85,85
ENSG00000134602,1574,1234,921,823,1101,1406,787
ENSG00000134612,0,0,0,0,0,0,0
ENSG00000134627,0,8,15,59,0,1,14
ENSG00000134640,0,0,0,0,0,0,0
ENSG00000134644,2896,2209,1698,1845,2659,2902,2032
ENSG00000134668,0,5,0,0,14,0,0
ENSG00000134684,1389,941,909,1050,1367,983,896
ENSG00000134686,71,34,58,41,64,23,41
ENSG00000134690,52,55,63,0,18,23,7
ENSG00000134697,891,788,648,733,1105,916,880
ENSG00000134698,342,131,258,345,279,264,255
ENSG00000134709,44,44,15,109,101,196,49
ENSG00000134716,24,1,39,46,21,9,16
ENSG00000134717,1229,893,826,816,1163,953,814
ENSG00000134744,2280,1787,817,1003,1855,2302,1274
ENSG00000134748,1122,817,841,679,996,855,818
ENSG00000134755,0,0,0,41,27,19,18
ENSG00000134757,0,0,0,0,0,0,0
ENSG00000134758,1230,1227,998,1158,1201,925,1062
ENSG00000134759,2053,2627,1149,1455,2140,2067,1509
ENSG00000134760,0,0,0,0,0,0,0
ENSG00000134762,0,0,0,0,0,0,0
ENSG00000134765,0,0,0,0,0,0,0
ENSG00000134769,0,0,21,0,0,0,0
ENSG00000134775,0,0,0,2,1,0,2
ENSG00000134779,767,636,671,931,459,620,553
ENSG00000134780,0,0,0,23,0,28,5
ENSG00000134802,105,68,98,139,57,104,84
ENSG00000134809,79,35,54,18,64,39,46
ENSG00000134812,0,3,0,0,0,0,0
ENSG00000134815,307,128,56,124,449,387,248
ENSG00000134817,0,0,0,0,0,0,0
ENSG00000134824,0,0,7,4,6,16,6
ENSG00000134825,142,47,99,125,113,22,83
ENSG00000134827,0,0,10,99,0,55,0
ENSG00000134830,35,19,71,3,21,1,7
ENSG00000134851,1683,443,408,1012,1313,745,912
ENSG00000134852,683,571,360,474,606,178,397
ENSG00000134853,0,0,0,0,0,0,0
ENSG00000134864,56,27,68,157,31,56,38
ENSG00000134871,0,0,5,0,13,17,7
ENSG00000134873,0,0,0,0,0,0,0
ENSG00000134874,0,0,0,0,0,0,0
ENSG00000134882,1050,964,686,696,763,776,610
ENSG00000134884,7613,6872,4614,5418,7500,5580,5645
ENSG00000134897,72,44,28,39,41,10,43
ENSG00000134899,207,192,73,133,228,110,97
ENSG00000134900,1884,1669,1376,1195,1912,869,1276
ENSG00000134901,15,1,15,0,0,0,0
ENSG00000134905,738,319,366,506,1010,725,594
ENSG00000134909,2,81,5,18,0,29,37
ENSG00000134910,2050,1290,1126,1214,1489,1553,924
ENSG00000134917,14,16,0,0,0,14,3
ENSG00000134940,0,0,3,0,0,0,0
ENSG00000134954,2264,1577,1550,1375,2095,2486,967
ENSG00000134955,180,89,82,59,355,275,120
ENSG00000134962,1,0,0,0,26,0,4
ENSG00000134970,1123,1345,805,1217,904,475,903
ENSG00000134982,1236,779,403,705,1182,857,462
ENSG00000134986,0,0,1,0,0,6,3
ENSG00000134987,1256,831,660,706,1426,558,665
ENSG00000134996,1265,1205,1676,1607,991,1337,1527
ENSG00000135002,354,353,285,339,319,167,275
ENSG00000135018,1412,1134,781,742,1226,878,713
ENSG00000135040,513,481,257,324,474,201,303
ENSG00000135045,62,10,14,31,23,13,13
ENSG00000135046,268,505,732,1441,318,781,757
ENSG00000135047,0,0,30,42,26,42,44
ENSG00000135048,473,193,101,310,747,689,456
ENSG00000135049,1227,959,526,498,719,723,486
ENSG00000135052,179,123,105,121,134,127,67
ENSG00000135063,0,0,0,0,0,0,0
ENSG00000135069,75,20,63,54,47,9,47
ENSG00000135070,718,474,304,441,622,473,378
ENSG00000135074,4042,2699,3843,3105,3333,4906,4345
ENSG00000135077,33,60,152,101,80,1,48
ENSG00000135083,15,0,5,0,0,0,0
ENSG00000135090,2523,2299,1629,1764,2268,2688,2227
ENSG00000135093,215,256,203,239,314,267,299
ENSG00000135094,1,0,0,0,0,0,8
ENSG00000135097,0,0,0,0,0,0,0
ENSG00000135100,0,0,1,5,1,0,3
ENSG00000135108,1649,1205,1344,955,1296,1812,1219
ENSG00000135111,0,0,0,0,0,0,0
ENSG00000135114,49,48,90,360,40,0,51
ENSG00000135116,372,504,319,292,192,96,110
ENSG00000135119,265,231,215,132,193,82,139
ENSG00000135124,482,303,381,365,346,180,404
ENSG00000135127,50,41,28,78,82,76,37
ENSG00000135144,56,7,13,21,62,101,35
ENSG00000135148,2111,1585,1612,1388,2039,1576,1388
ENSG00000135164,3655,2967,2119,2294,2615,2685,2195
ENSG00000135175,0,0,0,0,0,0,0
ENSG00000135185,1530,1089,1052,1503,1384,1884,1531
ENSG00000135205,94,45,45,33,61,71,45
ENSG00000135211,94,55,219,77,95,125,163
ENSG00000135218,113,291,319,936,54,658,469
ENSG00000135220,0,0,0,0,0,0,0
ENSG00000135222,0,0,0,0,0,0,0
ENSG00000135226,0,0,0,0,0,0,0
ENSG00000135241,1678,1683,1142,1150,1592,1412,1369
ENSG00000135245,28,17,42,3,37,45,26
ENSG00000135248,0,0,0,8,0,0,0
ENSG00000135249,474,385,271,229,295,210,275
ENSG00000135250,1557,1495,1392,1023,1471,1329,1516
ENSG00000135253,94,19,41,132,49,64,48
ENSG00000135269,3961,3210,2562,2358,2783,2633,2171
ENSG00000135272,641,247,242,383,497,335,408
ENSG00000135297,1348,942,909,768,1368,1136,1000
ENSG00000135298,0,0,0,0,0,0,0
ENSG00000135299,23,9,66,32,35,39,33
ENSG00000135312,0,0,0,0,0,0,0
ENSG00000135314,4,36,14,10,20,30,3
ENSG00000135315,366,343,85,185,196,208,208
ENSG00000135316,990,552,615,567,695,580,644
ENSG00000135317,529,358,256,316,493,453,381
ENSG00000135318,1706,2710,2020,1345,423,610,357
ENSG00000135324,0,0,0,0,0,0,0
ENSG00000135333,0,0,0,0,0,0,0
ENSG00000135334,1086,753,572,834,798,827,658
ENSG00000135336,630,517,468,372,538,429,434
ENSG00000135338,19,0,7,0,0,0,0
ENSG00000135341,1330,606,853,784,1052,1280,922
ENSG00000135346,0,0,0,0,0,0,0
ENSG00000135355,0,0,0,0,0,0,0
ENSG00000135362,32,57,66,2,33,135,31
ENSG00000135363,74,24,50,77,7,20,3
ENSG00000135365,1201,1049,718,782,1017,928,908
ENSG00000135372,987,870,766,688,1311,834,779
ENSG00000135373,0,0,0,0,0,0,0
ENSG00000135374,0,0,0,0,0,0,0
ENSG00000135378,7,0,10,0,0,0,12
ENSG00000135387,3332,2450,1692,2044,2599,2071,2145
ENSG00000135390,594,216,565,341,648,337,529
ENSG00000135392,265,166,278,233,306,164,215
ENSG00000135404,169,146,288,265,192,281,252
ENSG00000135406,0,0,0,0,0,0,0
ENSG00000135407,13,40,37,0,58,33,32
ENSG00000135409,0,0,0,0,0,0,0
ENSG00000135413,0,0,0,0,0,0,0
ENSG00000135414,96,164,70,139,147,111,112
ENSG00000135423,9,0,3,1,1,3,1
ENSG00000135424,5,26,8,0,0,1,1
ENSG00000135426,369,189,190,222,343,449,411
ENSG00000135436,29,14,6,18,5,5,23
ENSG00000135437,103,53,19,8,32,68,56
ENSG00000135439,301,303,106,300,148,131,165
ENSG00000135441,148,102,41,31,58,104,66
ENSG00000135443,0,0,0,0,0,0,0
ENSG00000135446,325,373,290,387,244,307,310
ENSG00000135447,2,0,1,0,4,0,0
ENSG00000135451,16,10,0,0,0,7,0
ENSG00000135452,508,366,366,293,394,521,369
ENSG00000135454,0,0,0,0,0,0,0
ENSG00000135457,487,420,229,340,385,293,319
ENSG00000135469,560,147,168,300,468,259,345
ENSG00000135472,0,0,0,0,0,0,0
ENSG00000135473,1273,1171,859,865,1278,1210,935
ENSG00000135476,81,7,1,17,14,0,12
ENSG00000135477,0,0,0,0,0,0,0
ENSG00000135480,0,0,0,0,0,0,0
ENSG00000135482,172,130,116,83,113,125,81
ENSG00000135486,7967,8830,6238,7716,6951,7341,6775
ENSG00000135502,0,0,0,0,0,0,0
ENSG00000135503,43,8,11,39,2,24,23
ENSG00000135506,2301,1653,1362,1800,2107,2058,1623
ENSG00000135517,0,4,0,4,3,2,0
ENSG00000135519,5,26,3,6,9,0,7
ENSG00000135521,298,246,188,239,246,182,192
ENSG00000135525,62,95,57,53,14,33,8
ENSG00000135535,6877,5697,4500,5035,6501,6242,4741
ENSG00000135537,99,73,49,175,149,96,81
ENSG00000135540,13,23,0,7,9,11,2
ENSG00000135541,414,186,289,197,258,237,448
ENSG00000135547,0,0,0,0,0,0,0
ENSG00000135549,0,5,12,0,11,5,8
ENSG00000135569,0,0,0,0,0,0,0
ENSG00000135577,0,0,0,0,0,0,0
ENSG00000135587,318,197,147,313,295,412,299
ENSG00000135596,2700,2247,2380,1412,2647,1776,2247
ENSG00000135597,512,150,94,229,381,243,143
ENSG00000135604,306,412,178,1051,274,299,275
ENSG00000135605,162,295,161,300,174,6,115
ENSG00000135617,50,34,42,71,24,65,52
ENSG00000135622,242,123,202,193,147,277,184
ENSG00000135624,3527,3131,2715,2888,2482,2745,2419
ENSG00000135625,0,0,0,3,0,0,0
ENSG00000135631,52,1,26,21,0,64,40
ENSG00000135632,253,244,344,315,352,345,352
ENSG00000135636,8,30,113,108,53,35,155
ENSG00000135637,261,213,260,96,210,205,200
ENSG00000135638,0,0,0,0,0,0,0
ENSG00000135643,10,2,3,0,13,13,1
ENSG00000135655,3263,2060,1832,2002,2584,2256,1695
ENSG00000135677,1069,654,975,1431,1103,1201,1165
ENSG00000135678,56,80,9,107,0,103,69
ENSG00000135679,1014,762,407,704,633,479,650
ENSG00000135686,1776,633,480,844,1263,893,852
ENSG00000135697,0,0,0,0,0,0,0
